,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-04-03 05:00:00,0.8,0.86,5.04,18.484,207.06500020000004,71.63899999999998,31.0449998,53.1980001,2.4859999999999998,5,1,4
2012-04-03 06:00:00,0.91,0.91,5.07,26.978000100000003,258.67300059999997,95.55599999999997,41.181,78.7489999,3.7230000000000003,6,1,4
2012-04-03 07:00:00,1.22,0.84,6.79,32.5249999,302.6250003,104.427,34.974000000000004,76.50099999999998,2.827,7,1,4
2012-04-03 08:00:00,1.84,0.77,8.38,34.4840001,283.09100010000003,102.03400010000001,37.925999999999995,67.21799999999999,2.6739999999999995,8,1,4
2012-04-03 09:00:00,2.13,0.71,10.02,32.827999999999996,276.85099970000005,105.70300020000003,41.167,65.7159999,4.428999999999999,9,1,4
2012-04-03 10:00:00,2.58,0.63,11.47,29.8340001,251.59099990000004,102.33099990000002,38.672000000000004,69.2090002,1.49,10,1,4
2012-04-03 11:00:00,2.46,0.57,12.59,36.8360001,247.68099999999993,96.683,42.86199979999999,62.033000099999995,1.4140000000000001,11,1,4
2012-04-03 12:00:00,2.91,0.59,12.58,30.688,253.80600030000002,95.22799999999998,39.591,76.26199989999999,2.174,12,1,4
2012-04-03 13:00:00,3.24,0.57,12.71,29.092,253.1889999000001,95.27599990000002,40.738,83.9269999,1.8820000000000001,13,1,4
2012-04-03 14:00:00,3.16,0.66,12.33,34.3389999,257.658,92.62,41.003,77.4030001,1.403,14,1,4
2012-04-03 15:00:00,3.22,0.58,12.92,33.45500010000001,266.00500079999995,95.5850001,40.724999999999994,82.256,1.433,15,1,4
2012-04-03 16:00:00,3.22,0.57,12.72,37.756,298.32199990000004,121.89800009999999,42.29999999999999,87.869,2.184,16,1,4
2012-04-03 17:00:00,2.3,0.66,11.5,45.970999899999995,347.19800019999997,141.34799999999998,54.736999999999995,97.19900000000004,3.572,17,1,4
2012-04-03 18:00:00,2.0,0.72,9.93,58.1149997,437.5760001000004,155.13899999999998,66.8390001,109.5860003,3.5490000000000004,18,1,4
2012-04-03 19:00:00,1.78,0.9,8.18,60.85800009999999,457.63800019999996,168.76500000000004,64.646,105.88599999999995,5.1899999999999995,19,1,4
2012-04-03 20:00:00,1.35,0.94,8.08,54.89299979999999,454.9629998999997,163.42200029999998,64.4889999,105.85899990000004,6.791,20,1,4
2012-04-03 21:00:00,1.42,0.94,7.73,51.7939999,410.2469999000002,149.573,62.2530001,103.18400010000002,5.274000000000001,21,1,4
2012-04-03 22:00:00,1.62,0.93,7.87,39.9949998,322.14200010000013,121.29299989999998,45.83500000000001,86.9900001,4.2589999999999995,22,1,4
